trade_date,stock,purchase_price,return_1d,return_5d,return_21d,return_63d,return_126d,bounce_1d,bounce_5d,bounce_21d,bounce_63d,bounce_126d,max_return_1d,max_return_5d,max_return_21d,max_return_63d,max_return_126d,min_return_1d,min_return_5d,min_return_21d,min_return_63d,min_return_126d,max_drawdown_1d,max_drawdown_5d,max_drawdown_21d,max_drawdown_63d,max_drawdown_126d,days_to_max_1d,days_to_max_5d,days_to_max_21d,days_to_max_63d,days_to_max_126d,days_to_min_1d,days_to_min_5d,days_to_min_21d,days_to_min_63d,days_to_min_126d,min_before_max_1d,min_before_max_5d,min_before_max_21d,min_before_max_63d,min_before_max_126d,relative_volume_1m,relative_volume_1y,relative_volume_2y,relative_value_1m,relative_value_1y,relative_value_2y,volume_quantile_1m,volume_quantile_1y,volume_quantile_2y,value_quantile_1m,value_quantile_1y,value_quantile_2y
2013-04-15,x14593,1679.38,0.01522,-0.05045,0.05719,0.01808,0.1738,1.0,0.0,1.0,1.0,1.0,0.01522,0.01522,0.1048,0.1048,0.2093,0.0,-0.06983,-0.06983,-0.06983,-0.06983,0.0,-0.08378,-0.08378,-0.151,-0.151,1.0,1.0,17.0,17.0,88.0,0.0,4.0,4.0,4.0,4.0,1.0,0.0,1.0,1.0,1.0,3.026,3.886,3.568,14.23,19.37,20.1,0.94,0.9549,0.9562,0.998,0.998,0.9981
2013-04-15,x27422,17.61,-0.006246,0.002271,0.2658,-0.01931,0.2169,0.0,1.0,1.0,0.0,1.0,0.0,0.002271,0.3362,0.3362,0.3935,-0.006246,-0.006246,-0.01647,-0.1096,-0.1096,-0.006246,-0.006246,-0.1017,-0.3336,-0.3336,0.0,5.0,19.0,19.0,85.0,1.0,1.0,6.0,57.0,57.0,0.0,1.0,1.0,0.0,1.0,3.573,1.823,1.208,0.1064,0.184,0.2699,0.954,0.8765,0.7886,0.024,0.1294,0.2552
2013-04-15,x39490,167.75,-0.007849,-0.04696,0.1433,0.1425,0.2111,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.1475,0.1997,0.2246,-0.007849,-0.05205,-0.05205,-0.05205,-0.05205,-0.007849,-0.05205,-0.05205,-0.07909,-0.1349,0.0,0.0,19.0,45.0,109.0,1.0,4.0,4.0,4.0,4.0,0.0,0.0,1.0,1.0,1.0,0.7087,0.6065,0.576,1.025,1.195,1.351,0.63,0.5588,0.541,0.76,0.8,0.8362
2013-04-15,x81774,58.54,-0.000683,-0.02426,0.07858,-0.03895,0.1425,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.1145,0.1233,0.1821,-0.000683,-0.04339,-0.04339,-0.0837,-0.0837,-0.000683,-0.04339,-0.04339,-0.1843,-0.1843,0.0,0.0,18.0,25.0,110.0,1.0,2.0,2.0,49.0,49.0,0.0,0.0,1.0,0.0,1.0,3.862,3.373,3.224,1.072,1.285,1.392,0.956,0.949,0.9505,0.774,0.8235,0.8419
2013-04-17,x24643,15.92,0.008794,0.05653,0.06784,0.02889,0.05276,1.0,1.0,1.0,1.0,1.0,0.008794,0.05653,0.1143,0.1143,0.1143,0.0,0.0,0.0,-0.03141,-0.03266,0.0,0.0,-0.04171,-0.1308,-0.1319,1.0,5.0,15.0,15.0,15.0,0.0,0.0,0.0,54.0,95.0,1.0,1.0,1.0,0.0,0.0,4.908,3.545,4.029,0.3075,0.3493,0.3834,0.968,0.9529,0.9657,0.29,0.3588,0.4
2013-04-17,x88991,20.46,0.07571,0.02892,0.05888,-0.1483,-0.06992,1.0,1.0,1.0,0.0,0.0,0.07571,0.07571,0.1104,0.113,0.113,0.0,-0.00736,-0.00736,-0.2355,-0.2355,0.0,-0.07722,-0.07722,-0.3132,-0.3132,1.0,1.0,16.0,24.0,24.0,0.0,3.0,3.0,49.0,49.0,1.0,0.0,1.0,0.0,0.0,1.52,1.537,1.445,0.1904,0.2431,0.2894,0.846,0.849,0.8362,0.132,0.2196,0.2857
2013-04-18,x79094,16.7,-0.007784,0.0503,0.2006,0.3293,0.3168,0.0,1.0,1.0,1.0,1.0,0.0,0.0503,0.2006,0.3407,0.4395,-0.007784,-0.007784,-0.007784,-0.007784,-0.007784,-0.007784,-0.007784,-0.01685,-0.06191,-0.109,0.0,5.0,21.0,62.0,100.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.5441,0.6291,0.5821,0.1261,0.1479,0.1692,0.51,0.5745,0.5486,0.05,0.08824,0.1162
2013-04-19,x79915,20.04,-0.004491,0.1173,0.2101,0.3817,0.495,0.0,1.0,1.0,1.0,1.0,0.0,0.1173,0.2101,0.3817,0.495,-0.004491,-0.00998,-0.00998,-0.00998,-0.00998,-0.004491,-0.00998,-0.03037,-0.1012,-0.1791,0.0,5.0,21.0,63.0,126.0,1.0,2.0,2.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,0.614,0.4515,0.4601,0.1018,0.14,0.1657,0.574,0.4275,0.44,0.018,0.07451,0.1086
2013-04-23,x76644,16.18,0.05439,0.1001,0.1638,0.1792,0.4839,1.0,1.0,1.0,1.0,1.0,0.05439,0.1001,0.1904,0.1904,0.4839,0.0,0.0,0.0,0.0,0.0,0.0,-0.01476,-0.07217,-0.1464,-0.1464,1.0,5.0,11.0,11.0,126.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.126,1.726,1.785,0.08568,0.1153,0.1338,0.902,0.8706,0.8819,0.006,0.03922,0.06857
2013-04-24,x87657,64.6,0.01223,-0.03189,0.01734,0.08638,0.2093,1.0,0.0,1.0,1.0,1.0,0.01223,0.01223,0.1079,0.1138,0.2093,0.0,-0.03189,-0.03189,-0.03189,-0.03189,0.0,-0.04359,-0.1016,-0.1027,-0.1027,1.0,1.0,14.0,35.0,126.0,0.0,5.0,5.0,5.0,5.0,1.0,0.0,1.0,1.0,1.0,0.1941,0.2041,0.2029,0.3308,0.3926,0.394,0.136,0.151,0.1448,0.338,0.4157,0.4152
2013-05-15,x21207,31.57,-0.004435,0.01235,0.05131,0.01172,-0.1454,0.0,1.0,1.0,1.0,0.0,0.0,0.02249,0.1071,0.1071,0.1071,-0.004435,-0.02978,-0.02978,-0.1612,-0.1885,-0.004435,-0.02978,-0.06123,-0.2423,-0.267,0.0,3.0,15.0,15.0,15.0,1.0,2.0,2.0,58.0,104.0,0.0,1.0,1.0,0.0,0.0,1.728,1.37,1.269,0.5523,0.816,0.9228,0.8685,0.8337,0.8027,0.5558,0.7143,0.7433
2013-06-03,x87184,47.16,-0.02078,-0.01611,0.005302,0.07124,-0.00657,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.02778,0.1349,0.1363,-0.02078,-0.03562,-0.03562,-0.03562,-0.102,-0.02078,-0.03562,-0.03562,-0.06259,-0.2097,0.0,0.0,18.0,50.0,76.0,1.0,3.0,3.0,3.0,100.0,0.0,0.0,1.0,1.0,0.0,0.5582,0.4258,0.407,0.318,0.3655,0.3934,0.5329,0.3906,0.3889,0.3134,0.3848,0.4119
2013-06-05,x23026,38.68,0.005688,-0.02094,-0.07317,-0.04913,-0.159,1.0,0.0,0.0,0.0,0.0,0.005688,0.006722,0.006722,0.01603,0.01603,0.0,-0.02094,-0.07317,-0.07317,-0.1598,0.0,-0.02748,-0.07935,-0.07935,-0.173,1.0,2.0,2.0,38.0,38.0,0.0,5.0,21.0,21.0,123.0,1.0,0.0,0.0,1.0,0.0,0.8487,0.6082,0.5795,0.572,0.65,0.711,0.7206,0.5645,0.5479,0.5749,0.625,0.6609
2013-06-05,x91391,7.92,-0.003788,0.02147,-0.002524,0.04167,0.02526,0.0,1.0,0.0,1.0,1.0,0.0,0.02147,0.04924,0.09091,0.09281,-0.003788,-0.003788,-0.03409,-0.03409,-0.03409,-0.003788,-0.003788,-0.07942,-0.07942,-0.07942,0.0,5.0,7.0,42.0,108.0,1.0,1.0,15.0,15.0,15.0,0.0,1.0,0.0,1.0,1.0,1.228,1.579,1.497,0.1648,0.1936,0.2233,0.8084,0.8535,0.8448,0.0978,0.1387,0.1877
2013-06-07,x83143,28.95,-0.01554,-0.0006902,-0.05492,-0.1074,-0.02452,0.0,0.0,0.0,0.0,0.0,0.0,0.006908,0.008636,0.008636,0.04145,-0.01554,-0.01554,-0.09257,-0.1109,-0.1261,-0.01554,-0.01554,-0.1003,-0.1185,-0.1336,0.0,2.0,6.0,6.0,113.0,1.0,1.0,11.0,62.0,88.0,0.0,1.0,0.0,0.0,1.0,0.2563,0.2469,0.2733,0.2299,0.2342,0.2267,0.2096,0.1992,0.2146,0.1717,0.1895,0.1897
2013-06-07,x88991,20.16,-0.01601,-0.1046,-0.1622,-0.02775,0.01228,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1137,-0.01601,-0.1046,-0.2241,-0.2241,-0.2241,-0.01601,-0.1046,-0.2241,-0.2241,-0.2241,0.0,0.0,0.0,0.0,108.0,1.0,5.0,13.0,13.0,13.0,0.0,0.0,0.0,0.0,1.0,1.633,1.514,1.535,0.1792,0.2312,0.264,0.8623,0.8477,0.8506,0.1178,0.1816,0.249
2013-06-20,x21207,29.75,0.01008,-0.06857,0.02017,0.001006,-0.2222,1.0,0.0,1.0,1.0,0.0,0.01008,0.01008,0.02017,0.119,0.119,0.0,-0.08504,-0.1055,-0.1099,-0.2262,0.0,-0.09418,-0.1183,-0.155,-0.3085,1.0,1.0,21.0,46.0,46.0,0.0,4.0,13.0,33.0,118.0,1.0,0.0,1.0,1.0,0.0,1.396,1.432,1.301,0.5523,0.7389,0.8698,0.8343,0.8369,0.8126,0.5649,0.6699,0.7342
