trade_date,stock,purchase_price,trigger_drop_pct,return_1d,return_5d,return_21d,return_63d,return_126d,bounce_1d,bounce_5d,bounce_21d,bounce_63d,bounce_126d,max_return_1d,max_return_5d,max_return_21d,max_return_63d,max_return_126d,min_return_1d,min_return_5d,min_return_21d,min_return_63d,min_return_126d,max_drawdown_1d,max_drawdown_5d,max_drawdown_21d,max_drawdown_63d,max_drawdown_126d,days_to_max_1d,days_to_max_5d,days_to_max_21d,days_to_max_63d,days_to_max_126d,days_to_min_1d,days_to_min_5d,days_to_min_21d,days_to_min_63d,days_to_min_126d,min_before_max_1d,min_before_max_5d,min_before_max_21d,min_before_max_63d,min_before_max_126d,relative_volume_1m,relative_volume_1y,relative_volume_2y,relative_value_1m,relative_value_1y,relative_value_2y,volume_quantile_1m,volume_quantile_1y,volume_quantile_2y,value_quantile_1m,value_quantile_1y,value_quantile_2y
2016-10-28,x81061,124.11,-0.2267,0.02466,0.05358,0.1381,0.1212,0.1217,1,1.0,1.0,1.0,1.0,0.0,0.09443,0.1884,0.2175,0.229,0.0,0.0,0.0,0.0,0.0,0.0,-0.04594,-0.05044,-0.09504,-0.1149,1,3,9,59,85,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,0.632,0.3841,0.3387,0.9527,1.124,1.289,0.5711,0.3383,0.2786,0.7451,0.7844,0.8143
2018-08-30,x81481,159.56,-0.1554,0.00915,0.03083,0.03058,0.1084,0.1967,1,1.0,1.0,1.0,1.0,0.0,0.03585,0.08072,0.1012,0.2433,0.0,0.0,0.0,-0.003384,-0.003384,0.0,-0.006583,-0.05416,-0.07782,-0.07782,1,3,14,63,117,0,0,0,29,29,1.0,1.0,1.0,1.0,1.0,1.03,0.6294,0.6534,0.444,0.4905,0.4915,0.7431,0.5832,0.6004,0.504,0.5373,0.5226
2019-11-26,x81481,190.52,-0.1524,-0.02341,-0.06299,-0.0254,-0.1284,0.0274,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.02498,0.0,-0.06939,-0.06939,-0.1046,-0.3117,-0.02341,-0.06939,-0.06939,-0.1284,-0.3117,0,0,0,0,126,1,4,4,63,76,0.0,0.0,0.0,0.0,1.0,0.6606,0.5569,0.6463,0.4906,0.5081,0.5047,0.5791,0.5285,0.5722,0.5494,0.5551,0.5667
2020-03-12,x81481,140.7,-0.1592,0.06183,0.007393,0.08273,0.2665,0.2829,1,1.0,1.0,1.0,1.0,0.0,0.08671,0.135,0.3912,0.4817,0.0,-0.06795,-0.06795,-0.06795,-0.06795,0.0,-0.1423,-0.1423,-0.1423,-0.1423,1,3,12,54,116,0,4,4,4,4,1.0,0.0,1.0,1.0,1.0,0.5291,0.5932,0.6444,0.3852,0.4792,0.4851,0.5296,0.5475,0.5833,0.4605,0.5418,0.5435
2024-09-04,x81481,127.12,-0.2216,0.07725,0.04751,0.08685,0.1403,,1,1.0,1.0,1.0,,0.0,0.07725,0.1905,0.1905,,0.0,0.0,0.0,-0.03697,,0.0,-0.04498,-0.08709,-0.1911,-0.1911,1,1,10,10,79,0,0,0,48,48,1.0,1.0,1.0,0.0,1.0,0.8548,0.5528,0.4941,0.2087,0.3064,0.3864,0.7376,0.5635,0.5456,0.2863,0.425,0.4916
2020-03-12,x81655,99.78,-0.1572,0.1039,-0.2831,0.02907,0.2326,0.5202,1,0.0,1.0,1.0,1.0,0.0,0.1039,0.1039,0.4541,0.5263,0.0,-0.4227,-0.4227,-0.4227,-0.4227,0.0,-0.477,-0.477,-0.477,-0.477,1,1,1,58,121,0,4,4,4,4,1.0,0.0,0.0,1.0,1.0,0.3058,0.3462,0.3345,0.2345,0.2846,0.2893,0.2905,0.3194,0.2917,0.249,0.3213,0.2989
2020-03-18,x81677,41.02,-0.1822,0.039,0.1385,0.2006,0.4927,0.6575,1,1.0,1.0,1.0,1.0,0.0,0.1202,0.3471,0.7565,0.7565,0.0,-0.006582,-0.006582,-0.006582,-0.006582,0.0,-0.04388,-0.1401,-0.1672,-0.2248,1,5,16,56,56,0,2,2,2,2,1.0,1.0,1.0,1.0,1.0,0.3509,0.4357,0.434,0.2435,0.2661,0.2808,0.3419,0.4084,0.4007,0.2747,0.2805,0.2896
2020-03-12,x81696,19.91,-0.1582,0.08766,0.1018,0.1083,0.5846,0.6166,1,1.0,1.0,1.0,1.0,0.0,0.08766,0.1622,0.8801,0.8801,0.0,-0.05592,-0.08564,-0.08564,-0.08564,0.0,-0.132,-0.1701,-0.1701,-0.1739,1,5,20,60,60,0,4,7,7,7,1.0,1.0,1.0,1.0,1.0,0.7353,0.6491,0.6647,0.185,0.1736,0.1733,0.6265,0.5817,0.596,0.17,0.1217,0.09964
2022-05-06,x81696,22.29,-0.1914,-0.0414,-0.06121,-0.0423,-0.1364,-0.3992,0,0.0,0.0,0.0,0.0,0.0,0.0,0.02745,0.02745,0.02745,0.0,-0.2142,-0.2142,-0.2565,-0.4167,-0.0414,-0.2142,-0.2142,-0.2764,-0.4323,0,0,16,16,16,1,3,3,30,111,0.0,0.0,1.0,0.0,0.0,0.6499,0.5501,0.6341,0.1183,0.143,0.1537,0.67,0.5739,0.6427,0.04545,0.08637,0.1289
2019-01-25,x81736,94.56,-0.1939,-0.03173,-0.009941,0.06599,0.09919,0.3417,0,0.0,1.0,1.0,1.0,0.0,0.006451,0.07508,0.1105,0.3268,0.0,-0.03173,-0.03173,-0.03173,-0.03173,-0.03173,-0.03173,-0.03173,-0.07276,-0.07276,0,4,20,46,126,1,1,1,1,1,0.0,1.0,1.0,1.0,1.0,0.2206,0.1652,0.1687,0.3639,0.324,0.3211,0.1933,0.07925,0.08259,0.4359,0.366,0.3411
